TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623831	28.51	20.16	4.45	4.43	4.61	4.41
1709623832	28.48	20.16	4.45	4.43	4.61	4.41
1709623833	28.42	20.15	4.45	4.43	4.61	4.41
1709623834	28.47	20.16	4.45	4.43	4.61	4.41
1709623835	28.57	20.16	4.45	4.43	4.61	4.41
1709623836	28.59	20.16	4.45	4.43	4.61	4.41
1709623837	28.49	20.14	4.45	4.43	4.61	4.41
1709623838	28.54	20.17	4.45	4.43	4.61	4.41
1709623839	28.53	20.17	4.45	4.43	4.61	4.41
1709623840	28.37	20.16	4.45	4.43	4.61	4.41
1709623841	28.39	20.15	4.45	4.43	4.61	4.41
1709623842	28.50	20.15	4.45	4.43	4.61	4.41
1709623843	28.52	20.15	4.45	4.43	4.61	4.41
1709623844	28.45	20.15	4.45	4.43	4.61	4.41
1709623845	28.46	20.16	4.45	4.43	4.61	4.41
1709623846	28.53	20.16	4.45	4.43	4.61	4.41
1709623847	28.33	20.16	4.45	4.43	4.61	4.41
1709623848	28.39	20.16	4.45	4.43	4.61	4.41
1709623849	28.41	20.15	4.45	4.43	4.61	4.41
1709623850	28.32	20.14	4.45	4.43	4.61	4.41
1709623851	28.50	20.15	4.45	4.43	4.61	4.41
1709623852	28.63	20.16	4.45	4.43	4.61	4.41
1709623853	28.59	20.15	4.45	4.43	4.61	4.41
1709623854	28.41	20.15	4.45	4.43	4.61	4.41
1709623855	28.50	20.15	4.45	4.43	4.61	4.41
1709623856	28.43	20.16	4.45	4.43	4.61	4.41
1709623857	28.49	20.15	4.45	4.43	4.61	4.41
1709623858	28.50	20.15	4.45	4.43	4.61	4.41
1709623859	28.51	20.14	4.45	4.43	4.61	4.41
1709623860	28.36	20.15	4.45	4.43	4.61	4.41
1709623861	28.41	20.15	4.45	4.43	4.61	4.41
1709623862	28.58	20.16	4.45	4.43	4.61	4.41
1709623863	28.44	20.15	4.45	4.43	4.61	4.41
1709623864	28.35	20.15	4.45	4.43	4.61	4.41
1709623865	28.56	20.15	4.45	4.43	4.61	4.41
1709623866	28.41	20.16	4.45	4.43	4.61	4.41
1709623867	28.43	20.15	4.45	4.43	4.61	4.41
1709623868	28.40	20.16	4.45	4.43	4.61	4.41
1709623869	28.55	20.17	4.45	4.43	4.61	4.41
1709623870	28.51	20.14	4.45	4.43	4.61	4.41
1709623871	28.44	20.14	4.45	4.43	4.61	4.41
1709623872	28.49	20.15	4.45	4.43	4.61	4.41
1709623873	28.47	20.14	4.45	4.43	4.61	4.41
1709623874	28.45	20.14	4.45	4.43	4.61	4.41
1709623875	28.41	20.14	4.45	4.43	4.61	4.41
1709623876	28.50	20.15	4.45	4.43	4.61	4.41
1709623877	28.42	20.14	4.45	4.43	4.61	4.41
1709623878	28.33	20.14	4.45	4.43	4.61	4.41
1709623879	28.49	20.14	4.45	4.43	4.61	4.41
1709623880	28.41	20.14	4.45	4.43	4.61	4.41
1709623881	28.41	20.14	4.45	4.43	4.61	4.41
1709623882	28.43	20.16	4.45	4.43	4.61	4.41
1709623883	28.51	20.14	4.45	4.43	4.61	4.41
1709623884	28.42	20.13	4.45	4.43	4.61	4.41
1709623885	28.43	20.13	4.45	4.43	4.61	4.41
1709623886	28.46	20.16	4.45	4.43	4.61	4.41
1709623887	28.50	20.14	4.45	4.43	4.61	4.41
1709623888	28.43	20.14	4.45	4.43	4.61	4.41
1709623889	28.52	20.16	4.45	4.43	4.61	4.41
1709623890	28.48	20.16	4.45	4.43	4.61	4.41
1709623891	28.58	20.15	4.45	4.43	4.61	4.41
1709623892	28.58	20.14	4.45	4.43	4.61	4.41
1709623893	28.52	20.16	4.45	4.43	4.61	4.41
1709623894	28.44	20.14	4.45	4.43	4.61	4.41
1709623895	28.38	20.14	4.45	4.43	4.61	4.41
1709623896	28.40	20.15	4.45	4.43	4.61	4.41
1709623897	28.42	20.14	4.45	4.43	4.61	4.41
1709623898	28.47	20.16	4.45	4.43	4.61	4.41
1709623899	28.55	20.16	4.45	4.43	4.61	4.41
1709623900	28.39	20.15	4.45	4.43	4.61	4.41
1709623901	28.40	20.13	4.45	4.43	4.61	4.41
1709623902	28.52	20.13	4.45	4.43	4.61	4.41
1709623903	28.50	20.15	4.45	4.43	4.61	4.41
1709623904	28.42	20.13	4.45	4.43	4.61	4.41
1709623905	28.30	20.13	4.45	4.43	4.61	4.41
1709623906	28.52	20.14	4.45	4.43	4.61	4.41
1709623907	28.40	20.14	4.45	4.43	4.61	4.41
1709623908	28.37	20.15	4.45	4.43	4.61	4.41
1709623909	28.57	20.15	4.45	4.43	4.61	4.41
1709623910	28.50	20.15	4.45	4.43	4.61	4.41
1709623911	28.49	20.14	4.45	4.43	4.61	4.41
1709623912	28.53	20.15	4.45	4.43	4.61	4.41
1709623913	28.48	20.15	4.45	4.43	4.61	4.41
1709623914	28.50	20.15	4.45	4.43	4.61	4.41
1709623915	28.47	20.15	4.45	4.43	4.61	4.41
1709623916	28.43	20.16	4.45	4.43	4.61	4.41
1709623917	28.50	20.13	4.45	4.43	4.61	4.41
1709623918	28.37	20.14	4.45	4.43	4.61	4.41
1709623919	28.46	20.14	4.45	4.43	4.61	4.41
1709623920	28.46	20.15	4.45	4.43	4.61	4.41
1709623921	28.48	20.14	4.45	4.43	4.61	4.41
1709623922	28.41	20.15	4.45	4.43	4.61	4.41
1709623923	28.52	20.15	4.45	4.43	4.61	4.41
1709623924	28.43	20.15	4.45	4.43	4.61	4.41
1709623925	28.46	20.14	4.45	4.43	4.61	4.41
1709623926	28.46	20.14	4.45	4.43	4.61	4.41
1709623927	28.42	20.14	4.45	4.43	4.61	4.41
1709623928	28.44	20.14	4.45	4.43	4.61	4.41
1709623929	28.46	20.15	4.45	4.43	4.61	4.41
1709623930	28.42	20.14	4.45	4.43	4.61	4.41
1709623931	28.50	20.14	4.45	4.43	4.61	4.41
1709623932	28.50	20.13	4.45	4.43	4.61	4.41
1709623933	28.57	20.14	4.45	4.43	4.61	4.41
1709623934	28.57	20.12	4.45	4.43	4.61	4.41
1709623935	28.41	20.14	4.45	4.43	4.61	4.41
1709623936	28.50	20.14	4.45	4.43	4.61	4.41
1709623937	28.42	20.14	4.45	4.43	4.61	4.41
1709623938	28.42	20.14	4.45	4.43	4.61	4.41
1709623939	28.54	20.14	4.45	4.43	4.61	4.41
1709623940	28.53	20.13	4.45	4.43	4.61	4.41
1709623941	28.44	20.12	4.45	4.43	4.61	4.41
1709623942	28.55	20.13	4.45	4.43	4.61	4.41
1709623943	28.49	20.13	4.45	4.43	4.61	4.41
1709623944	28.49	20.13	4.45	4.43	4.61	4.41
1709623945	28.42	20.12	4.45	4.43	4.61	4.41
