TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604550	294.007	290.227	290.434	300.000	290.508	290.232	287.349	0	0	0	0
1729604551	294.495	290.227	290.434	300.000	290.508	290.232	287.298	0	0	0	0
1729604552	293.185	290.227	290.434	300.000	290.508	290.232	287.217	0	0	0	0
1729604553	295.405	290.227	290.434	300.000	290.508	290.232	287.211	0	0	0	0
1729604554	295.782	290.227	290.434	300.000	290.507	290.232	287.037	0	0	0	0
1729604555	293.052	290.227	290.434	300.000	290.507	290.232	287.012	0	0	0	0
1729604556	292.186	290.227	290.434	300.000	290.507	290.232	286.801	0	0	0	0
1729604557	296.937	290.226	290.434	300.000	290.507	290.232	286.726	0	0	0	0
1729604558	288.191	290.226	290.434	300.000	290.507	290.232	286.571	0	0	0	0
1729604559	290.144	290.226	290.434	300.000	290.507	290.232	286.663	0	0	0	0
1729604560	290.810	290.226	290.434	300.000	290.507	290.232	286.455	0	0	0	0
1729604561	293.718	290.226	290.434	300.000	290.507	290.232	286.372	0	0	0	0
1729604562	295.738	290.226	290.434	300.000	290.507	290.232	286.300	0	0	0	0
1729604563	291.609	290.226	290.434	300.000	290.507	290.232	286.262	0	0	0	0
1729604564	294.451	290.226	290.434	300.000	290.507	290.233	286.222	0	0	0	0
1729604565	297.292	290.226	290.434	300.000	290.506	290.232	286.255	0	0	0	0
1729604566	293.141	290.226	290.434	300.000	290.506	290.233	286.045	0	0	0	0
1729604567	292.608	290.225	290.434	300.000	290.506	290.232	285.963	0	0	0	0
1729604568	289.734	290.225	290.434	300.000	290.506	290.232	285.907	0	0	0	0
1729604569	294.029	290.225	290.434	300.000	290.506	290.232	285.838	0	0	0	0
1729604570	296.115	290.225	290.434	300.000	290.506	290.232	285.692	0	0	0	0
1729604571	287.703	290.225	290.434	300.000	290.506	290.232	285.619	0	0	0	0
1729604572	294.184	290.225	290.434	300.000	290.506	290.232	285.513	0	0	0	0
1729604573	299.534	290.225	290.434	300.000	290.505	290.232	285.444	0	0	0	0
1729604574	295.117	290.225	290.434	300.000	290.505	290.232	285.430	0	0	0	0
1729604575	290.455	290.225	290.434	300.000	290.505	290.232	285.359	0	0	0	0
1729604576	294.029	290.225	290.434	300.000	290.505	290.232	285.297	0	0	0	0
1729604577	295.583	290.226	290.434	300.000	290.505	290.232	285.172	0	0	0	0
1729604578	295.361	290.225	290.434	300.000	290.505	290.232	285.076	0	0	0	0
1729604579	296.337	290.225	290.434	300.000	290.505	290.232	285.043	0	0	0	0
1729604580	295.183	290.225	290.435	300.000	290.505	290.232	284.891	0	0	0	0
1729604581	289.023	290.226	290.435	300.000	290.506	290.233	284.773	0	0	0	0
1729604582	293.518	290.226	290.435	300.000	290.505	290.233	284.753	0	0	0	0
1729604583	294.029	290.226	290.435	300.000	290.505	290.233	284.742	0	0	0	0
1729604584	290.966	290.226	290.435	300.000	290.505	290.233	284.603	0	0	0	0
